Quantity,Value,Footprint,Reference
2,YTS-A016-X,YTS-A016-X,"BOOT1, RST1"
14,100nF/10V/20%/X5R/C0402,C_0402_5MIL_DWS,"C1, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C15, C17, C26"
5,4.7uF/10V/20%/X5R/C0402,C_0402_5MIL_DWS,"C13, C14, C16, C18, C19"
2,27pF/50V/5%/C0G/C0402,C_0402_5MIL_DWS,"C20, C21"
2,22uF/6.3V/20%/X5R/C0603,C_0603_5MIL_DWS,"C22, C24"
1,47uF/6.3V/20%/X5R/C0805,C_0805_5MIL_DWS,C27
1,1N5822/SS34/SMA,SMA-KA,D1
1,3.3uH/2.0A/DCR=140mR/20%/2.00x1.60x1.00mm/L2016(PIM201610-3R3MTS00),L_2016_MM,L1
1,1.0uH/4.2A/DCR=35mR/20%/2.00x1.60x1.00mm/L2016(PIM201610-1R0MTS00),L_2016_MM,L2
1,FB0805/600R/2A,L_0805_5MIL_DWS,L3
1,LED/GREEN/0603,LED_0603_KA,LED1
1,TFC-9P-1.7H(ATFFS150A01BR016),uSD(TFC-9P-1.xH(ATFFS150A01BR016)),MICRO_SD1
1,Q12MHz/18pF/30ppm/4P/3.2x2.5mm(ABM8-12.000MHZ-D2Y-T),TSX-3.2x2.5mm_GND(3),Q1
1,SH1.0-4P-180D,BM04B-SRSS-TB,QWST1
7,10k/R0402,R_0402_5MIL_DWS,"R1, R16, R19, R20, R21, R22, R23"
4,33R/R0402,R_0402_5MIL_DWS,"R3, R24, R25, R26"
1,200R/1%/R0402,R_0402_5MIL_DWS,R4
2,5.1k/1%/R0402,R_0402_5MIL_DWS,"R5, R10"
2,27R/R0402,R_0402_5MIL_DWS,"R6, R7"
1,1.3R/1%/R0402,R_0402_5MIL_DWS,R8
2,1k/R0402,R_0402_5MIL_DWS,"R9, R11"
1,1M/R0402,R_0402_5MIL_DWS,R12
1,220k/R0402,R_0402_5MIL_DWS,R13
1,49.9k/1%/R0402,R_0402_5MIL_DWS,R14
3,2.2k/R0402,R_0402_5MIL_DWS,"R15, R17, R18"
1,W25Q128JVSIQ(SOIC-8_208mils),SO-8_208mil,U1
1,TPS62A02ADRLR(SOT-563-6),SOT-563-6,U2
1,RP2350B(QFN-80_10.00x10.00x0.90mm_P0.4mm),QFN-80_10.00x10.00x0.90mm_P0.4mm,U3
1,APS6404L-3SQR-SN(SOIC-8_150mils),SO-8,U5
1,USB-C-16P-F(A40-00119-A52-12),USB2.0_TYPE-C(A40-00119-A52-12)_Paste,USB-C1
1,SH1.0-10P-180D,BM10B-SRSS-TB,pUEXT1
